帧编号阶段	帧id	帧名	内容
99	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
100	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
101	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
102	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
103	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
104	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
105	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
106	充电阶段	CCS	充电桩充电状态报文	电压输出为441V.电流输出为0A.目前已经充电0分钟.当前充电状态--禁止充电!
107	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
108	充电阶段	CCS	充电桩充电状态报文	电压输出为441V.电流输出为0A.目前已经充电0分钟.当前充电状态--禁止充电!
109	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
110	充电阶段	CCS	充电桩充电状态报文	电压输出为441V.电流输出为0A.目前已经充电0分钟.当前充电状态--禁止充电!
111	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
112	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
113	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
114	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
115	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
116	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
117	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
118	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
119	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
120	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
121	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
122	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
123	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
124	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
125	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
126	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
127	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
128	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
129	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
130	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
131	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
132	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
133	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
134	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
135	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
136	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
137	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
138	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
139	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
140	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
141	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
142	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
143	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
144	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
145	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
146	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
147	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
148	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
149	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
150	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
151	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
152	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
153	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
154	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
155	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
156	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
157	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
158	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
159	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
160	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
161	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
162	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
163	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
164	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
165	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
166	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
167	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
168	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
169	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
170	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
171	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
172	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
173	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
174	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
175	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
176	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
177	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
178	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
179	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
180	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
181	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
182	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
183	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
184	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
185	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
186	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
187	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
188	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
189	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
190	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
191	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
192	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
193	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
194	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
195	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
196	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
197	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
198	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
199	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
200	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
201	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
202	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
203	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
204	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
205	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
206	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
207	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
208	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
209	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
210	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
211	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
212	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
213	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
214	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
215	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
216	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
217	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
218	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
219	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
220	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
221	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
222	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
223	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
224	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
225	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
226	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
227	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
228	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
229	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
230	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
231	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
232	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
233	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
234	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
235	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
236	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
237	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
238	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
239	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
240	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
241	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
242	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
243	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
244	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
